City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Atar,MR,20.5169,-13.0499,88.29,29,99,16.89,overcast clouds
130,Chicama,PE,-7.8447,-79.1469,64.94,77,17,4.7,few clouds
131,Mogadishu,SO,2.0371,45.3438,78.8,81,35,16.44,scattered clouds
132,Gao,ML,16.6362,1.637,90.21,12,1,4.97,clear sky
133,College,US,64.8569,-147.8028,71.58,29,75,1.99,broken clouds
134,Upernavik,GL,72.7868,-56.1549,31.87,75,27,1.9,scattered clouds
135,Carutapera,BR,-1.195,-46.02,75.94,94,84,5.66,broken clouds
136,Raudeberg,NO,61.9875,5.1352,61.47,58,3,6.93,clear sky
137,Dikson,RU,73.5069,80.5464,31.08,95,99,14.2,overcast clouds
138,Damghan,IR,36.1683,54.348,81.84,26,0,2.77,clear sky
139,Samana,DO,19.2056,-69.3369,77.09,83,90,10.0,overcast clouds
140,Maniitsoq,GL,65.4167,-52.9,34.86,76,31,7.65,scattered clouds
141,Bollnas,SE,61.3482,16.3946,50.45,80,3,2.24,clear sky
142,Karatuzskoye,RU,53.6072,92.8667,71.11,65,64,3.56,broken clouds
143,Cap Malheureux,MU,-19.9842,57.6142,73.89,74,9,21.83,clear sky
144,Balkhash,KZ,46.844,74.9804,74.01,49,0,6.71,clear sky
145,Korla,CN,41.7597,86.1469,86.45,16,100,1.34,overcast clouds
146,Te Anau,NZ,-45.4167,167.7167,49.41,92,100,4.12,overcast clouds
147,Tonekabon,IR,36.8163,50.8738,71.55,89,78,4.81,broken clouds
148,Clyde River,CA,70.4692,-68.5914,28.63,93,90,13.8,light snow
149,Bredasdorp,ZA,-34.5322,20.0403,50.29,93,66,2.44,broken clouds
150,Chokurdakh,RU,70.6333,147.9167,55.67,65,100,7.58,overcast clouds
151,Kailua,US,21.4022,-157.7394,87.78,61,40,10.36,scattered clouds
152,Saint-Philippe,RE,-21.3585,55.7679,71.15,81,44,13.6,light rain
153,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,82,28,4.14,scattered clouds
154,Oranjemund,NA,-28.55,16.4333,63.77,37,12,11.43,few clouds
155,La Sarre,CA,48.8002,-79.1996,55.38,96,52,7.31,broken clouds
156,Novikovo,RU,51.1537,37.8879,51.62,87,100,6.87,overcast clouds
157,Harnosand,SE,62.6323,17.9379,48.99,75,91,3.24,overcast clouds
158,Yasothon,TH,15.75,104.1333,94.3,50,99,10.29,overcast clouds
159,Maldonado,UY,-34.6667,-54.9167,58.39,64,63,12.46,broken clouds
160,Qianan,CN,44.9932,124.0581,61.34,55,100,15.32,light rain
161,Beringovskiy,RU,63.05,179.3167,35.44,86,80,5.59,broken clouds
162,Port-Cartier,CA,50.0334,-66.8654,53.82,96,100,7.31,overcast clouds
163,Leningradskiy,RU,69.3833,178.4167,32.11,82,22,8.12,few clouds
164,Thompson,CA,55.7435,-97.8558,57.36,54,90,3.44,overcast clouds
165,Arona,ES,28.0996,-16.681,62.33,67,40,3.0,scattered clouds
166,San Francisco Del Mar,MX,16.2333,-94.65,84.96,69,10,5.64,clear sky
167,Nsanje,MW,-16.92,35.262,63.52,91,65,4.94,broken clouds
168,Teya,RU,60.3778,92.6267,48.2,56,100,5.7,overcast clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,59.0,39,0,17.0,clear sky
170,Corn Island,NI,12.1694,-83.0418,82.4,77,39,18.37,scattered clouds
171,Champerico,GT,14.3,-91.9167,85.35,69,9,1.25,clear sky
172,Butaritari,KI,3.0707,172.7902,83.19,74,91,7.9,overcast clouds
173,Chifeng,CN,42.2683,118.9636,65.77,37,67,15.41,light rain
174,Poum,NC,-20.2333,164.0167,75.56,60,38,10.54,scattered clouds
175,Tecoanapa,MX,16.5167,-98.75,84.04,67,11,2.35,few clouds
176,Bandar-E Lengeh,IR,26.5579,54.8807,89.06,55,6,3.24,clear sky
177,Bereda,ES,43.2686,-7.5406,44.91,100,22,1.48,few clouds
178,Santa Luzia,BR,-19.7697,-43.8514,70.7,71,0,3.74,clear sky
179,Batagay,RU,67.6333,134.6333,77.11,31,100,11.36,overcast clouds
180,Graaff-Reinet,ZA,-32.2522,24.5308,43.45,65,55,5.35,broken clouds
181,Faanui,PF,-16.4833,-151.75,81.27,73,59,10.25,broken clouds
182,Tautira,PF,-17.7333,-149.15,80.62,82,32,16.15,light rain
183,Bluff,NZ,-46.6,168.3333,55.22,73,18,13.06,few clouds
184,Fukue,JP,32.6881,128.8419,66.56,100,75,5.75,broken clouds
185,Abu Dhabi,AE,24.4667,54.3667,84.31,94,90,4.32,fog
186,Villa Carlos Paz,AR,-31.4241,-64.4978,64.89,72,38,14.0,scattered clouds
187,Bethel,US,41.3712,-73.414,68.85,91,100,3.67,light rain
188,Spornoye,RU,50.8448,37.2913,50.02,91,98,8.55,overcast clouds
