City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Qarchak,IR,2021-05-24 22:56:03,35.4394,51.5689,81.27,31,48,6.06
117,Muros,ES,2021-05-24 22:55:39,42.7762,-9.0603,51.85,85,15,7.61
118,Khatanga,RU,2021-05-24 22:52:31,71.9667,102.5,31.78,99,100,2.86
119,Vardo,NO,2021-05-24 22:54:11,70.3705,31.1107,36.34,68,5,5.06
120,Avarua,CK,2021-05-24 22:54:09,-21.2078,-159.775,84.25,84,75,11.5
121,Naryan-Mar,RU,2021-05-24 22:56:04,67.6713,53.087,36.81,57,100,14.16
122,Port Hedland,AU,2021-05-24 22:56:05,-20.3167,118.5667,73.45,35,90,18.41
123,Peleduy,RU,2021-05-24 22:56:05,59.6289,112.7406,47.95,35,10,0.65
124,Kruisfontein,ZA,2021-05-24 22:52:50,-34.0033,24.7314,60.89,61,98,3.94
125,Santiago,CL,2021-05-24 22:53:53,-33.4569,-70.6483,67.44,30,0,0.0
126,Chuy,UY,2021-05-24 22:56:05,-33.6971,-53.4616,52.66,74,10,11.18
127,Alice Springs,AU,2021-05-24 22:53:57,-23.7,133.8833,62.15,65,75,6.58
128,Sim,RU,2021-05-24 22:56:06,54.993,57.6982,64.42,52,53,2.84
129,Bethel,US,2021-05-24 22:52:39,41.3712,-73.414,65.48,52,1,8.05
130,Chimbote,PE,2021-05-24 22:56:06,-9.0853,-78.5783,66.33,86,66,7.85
131,Ankazobe,MG,2021-05-24 22:56:06,-18.3167,47.1167,55.81,82,81,3.78
132,Lebu,CL,2021-05-24 22:53:55,-37.6167,-73.65,54.32,93,58,7.02
133,Holme,DK,2021-05-24 22:56:07,56.1138,10.1725,51.3,94,100,12.24
134,Inuvik,CA,2021-05-24 22:56:07,68.3499,-133.7218,47.16,75,1,10.36
135,Ust-Ilimsk,RU,2021-05-24 22:56:07,58.0006,102.6619,44.15,97,100,6.55
136,Abu Kamal,SY,2021-05-24 22:56:08,34.4506,40.9171,73.85,38,26,5.08
137,Khorinsk,RU,2021-05-24 22:56:08,52.1657,109.7726,41.09,54,100,2.8
138,Bage,BR,2021-05-24 22:56:08,-31.3314,-54.1069,49.78,76,0,5.75
139,Talnakh,RU,2021-05-24 22:51:50,69.4865,88.3972,27.18,92,100,20.83
140,Itaueira,BR,2021-05-24 22:56:09,-7.6033,-43.0256,78.44,35,22,4.61
141,Saskylakh,RU,2021-05-24 22:56:09,71.9167,114.0833,40.23,88,4,5.73
142,Albany,US,2021-05-24 22:54:03,42.6001,-73.9662,72.99,44,21,5.93
143,Bud,US,2021-05-24 22:53:07,39.447,-86.1758,86.34,67,97,4.99
144,Kon Tum,VN,2021-05-24 22:56:10,14.35,108.0,71.44,97,100,1.1
145,Sakete,BJ,2021-05-24 22:56:10,6.7362,2.6587,83.34,85,50,5.59
146,Goderich,CA,2021-05-24 22:53:24,43.7501,-81.7165,77.04,56,96,5.75
147,Laredo,US,2021-05-24 22:55:31,27.5064,-99.5075,97.09,36,40,12.66
148,Watsa,CD,2021-05-24 22:56:10,3.0372,29.5355,65.61,94,99,1.74
149,La Mana,EC,2021-05-24 22:56:11,-0.9333,-79.2167,88.81,84,73,2.73
150,Hualmay,PE,2021-05-24 22:54:09,-11.0964,-77.6139,64.74,87,38,6.29
151,Acapulco,MX,2021-05-24 22:55:13,16.8634,-99.8901,87.51,56,3,11.48
152,Xambioa,BR,2021-05-24 22:56:11,-6.4111,-48.5364,76.46,85,93,0.22
153,Zyryanskoye,RU,2021-05-24 22:56:12,56.8306,86.6258,51.13,80,99,5.66
154,Longyearbyen,SJ,2021-05-24 22:56:12,78.2186,15.6401,28.24,69,75,10.36
155,Slyudyanka,RU,2021-05-24 22:56:12,51.6594,103.7061,48.81,80,100,8.48
156,Cervo,ES,2021-05-24 22:56:13,43.6702,-7.4101,55.96,78,61,7.25
157,Mahebourg,MU,2021-05-24 22:56:13,-20.4081,57.7,71.89,83,75,5.75
158,Ust-Kut,RU,2021-05-24 22:56:13,56.7938,105.7672,48.27,65,100,1.54
159,Gorontalo,ID,2021-05-24 22:56:14,0.5412,123.0595,79.0,86,86,1.28
160,Maragogi,BR,2021-05-24 22:51:55,-9.0122,-35.2225,76.48,75,76,6.89
161,Ixtapa,MX,2021-05-24 22:56:14,20.7,-105.2,90.9,31,1,7.27
162,Pangody,RU,2021-05-24 22:52:49,65.85,74.4859,32.9,58,100,5.28
163,Kaitangata,NZ,2021-05-24 22:54:00,-46.2817,169.8464,43.93,72,3,5.03
164,Fayaoue,NC,2021-05-24 22:56:15,-20.65,166.5333,72.32,53,0,6.89
165,Berbera,SO,2021-05-24 22:56:15,10.4396,45.0143,89.02,56,9,3.76
166,Skagen,DK,2021-05-24 22:56:15,57.7209,10.5839,57.09,80,100,21.74
167,San Alberto,CO,2021-05-24 22:56:15,7.7611,-73.3922,80.2,86,94,5.93
168,San Policarpo,PH,2021-05-24 22:53:37,12.1791,125.5072,81.64,84,85,5.46
169,Ulaangom,MN,2021-05-24 22:55:35,49.9811,92.0667,54.77,57,0,6.02
170,Dunedin,NZ,2021-05-24 22:55:54,-45.8742,170.5036,48.79,61,4,10.0
171,Ugoofaaru,MV,2021-05-24 22:56:16,5.6667,73.0,83.32,76,100,23.17
172,Sembe,CG,2021-05-24 22:56:16,1.6481,14.5806,73.47,91,83,0.56
173,Nishihara,JP,2021-05-24 22:55:20,26.1842,127.7558,78.08,79,40,2.57
174,Gurjaani,GE,2021-05-24 22:56:17,41.7429,45.8011,65.66,46,37,5.32
175,Nautla,MX,2021-05-24 22:56:17,20.2167,-96.7833,84.16,66,4,10.51
176,Atar,MR,2021-05-24 22:56:17,20.5169,-13.0499,89.71,19,6,10.0
177,Cabittaogan,PH,2021-05-24 22:56:18,17.5828,120.3656,76.98,74,9,3.49
