City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Naze,JP,81.52,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
581,Trincomalee,LK,81.7,overcast clouds,8.5711,81.2335,Welcombe Hotel
582,Dakoro,NE,87.3,broken clouds,14.5106,6.765,Shagon mai liverpool
584,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
586,Pundaguitan,PH,83.61,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
588,Sola,VU,79.52,broken clouds,-13.8833,167.55,Leumerus Bungalows
590,Alofi,NU,77.52,light rain,-19.0595,-169.9187,Taloa Heights
591,Rossland,CA,83.7,clear sky,49.0831,-117.8022,Prestige Mountain Resort Rossland
593,Timbiqui,CO,76.84,light rain,2.7717,-77.6654,hotel diana
594,Manokwari,ID,78.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
595,Washougal,US,84.36,clear sky,45.5826,-122.3534,Camas Hotel & Suites Portland - Vancouver
598,Aksu,CN,79.65,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
600,The Valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
605,Bachaquero,VE,81.91,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
606,Papara,BR,79.68,clear sky,-3.9839,-38.7273,Romin
607,Tulum,MX,79.93,clear sky,20.2167,-87.4667,Kin Ha Tulum
610,Bozhou,CN,81.7,clear sky,33.8772,115.7703,Haitian Hotel
616,San Miguel,SV,83.86,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
624,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
626,Ipanguacu,BR,75.22,clear sky,-5.4983,-36.855,"Rua Manoel Lins Caldas, 47"
627,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
630,Pemangkat,ID,84.97,overcast clouds,1.1667,108.9667,Ramah Kost KITA
632,Namtsy,RU,77.11,few clouds,62.7161,129.6658,"""Эңсиэли Киин"""
633,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
635,Sadat,IN,86.09,broken clouds,25.6833,83.2833,Tuntun Niwas
636,Banda Aceh,ID,83.1,overcast clouds,5.5577,95.3222,Sulthan Hotel International
639,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
641,Tabou,CI,79.61,overcast clouds,4.423,-7.3528,hotêl doufoulougou
645,Kifri,IQ,80.71,clear sky,34.6959,44.9661,میزان کفری
647,Malindi,KE,77.31,scattered clouds,-3.2175,40.1191,African House Resort
650,Dwarka,IN,83.5,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
652,Basco,PH,84.4,few clouds,20.4487,121.9702,Nathaniel's Lodge
663,Garowe,SO,77.29,overcast clouds,8.4054,48.4845,Curubo Hotel
665,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
668,Gizo,SB,83.34,light rain,-8.103,156.8419,Imagination Island
670,Marihatag,PH,86.29,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
674,Sanmenxia,CN,81.12,clear sky,34.7747,111.1814,Pengzhou Hotel
680,Matara,LK,79.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
681,Mamallapuram,IN,85.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
682,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
685,Tambun,ID,88.48,haze,-6.2641,107.0712,@HOM Premiere Tambun
